epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.4562,0.68635,0.80321,1,0.54218,0.08209,9e-05,9e-05
2,43.8438,0.4048,0.57028,1,3.30615,0.0631849,0.000184932,0.000184932
3,61.7158,0.464,0.82329,1,0.45526,0.0442796,0.00027959,0.00027959
4,81.1837,0.4772,0.83133,1,0.58575,0.0253738,0.000373765,0.000373765
5,100.327,0.40436,0.84337,1,0.56024,0.00646725,0.000467251,0.000467251
6,119.32,0.3359,0.82731,1,0.52255,0.000495437,0.000495437,0.000495437
7,136.599,0.36327,0.83133,1,0.55896,0.000493438,0.000493438,0.000493438
8,154.924,0.26605,0.84739,1,0.39319,0.000491083,0.000491083,0.000491083
9,174.425,0.26792,0.82731,1,0.46191,0.000488376,0.000488376,0.000488376
10,192.2,0.54739,0.87149,1,0.42603,0.00048532,0.00048532,0.00048532
11,210.794,0.33357,0.81928,1,0.62488,0.000481921,0.000481921,0.000481921
12,227.255,0.27387,0.81124,1,0.75696,0.000478184,0.000478184,0.000478184
13,243.438,0.42996,0.85141,1,0.43176,0.000474114,0.000474114,0.000474114
14,259.85,0.25824,0.83534,1,0.96606,0.000469718,0.000469718,0.000469718
15,275.895,0.24979,0.86747,1,0.45026,0.000465002,0.000465002,0.000465002
16,292.656,0.24285,0.87952,1,0.40109,0.000459974,0.000459974,0.000459974
17,310.677,0.20666,0.89157,1,0.37659,0.000454642,0.000454642,0.000454642
18,328.76,0.15872,0.86747,1,0.42786,0.000449013,0.000449013,0.000449013
19,344.979,0.18681,0.85542,1,0.38184,0.000443096,0.000443096,0.000443096
20,361.317,0.44788,0.84739,1,0.48907,0.000436902,0.000436902,0.000436902
21,377.319,0.17989,0.90763,1,0.32077,0.000430438,0.000430438,0.000430438
22,395.008,0.16765,0.8996,1,0.3642,0.000423715,0.000423715,0.000423715
23,411.375,0.14571,0.88755,1,0.39575,0.000416744,0.000416744,0.000416744
24,427.461,0.17421,0.86345,1,0.50861,0.000409535,0.000409535,0.000409535
25,443.535,0.11738,0.88353,1,0.48199,0.000402099,0.000402099,0.000402099
26,461.075,0.13462,0.90361,1,0.4028,0.000394448,0.000394448,0.000394448
27,477.338,0.16079,0.89558,1,0.36005,0.000386593,0.000386593,0.000386593
28,493.424,0.13679,0.87952,1,0.59021,0.000378548,0.000378548,0.000378548
29,509.372,0.35563,0.8755,1,0.44617,0.000370323,0.000370323,0.000370323
30,525.927,0.10865,0.86345,1,0.49445,0.000361932,0.000361932,0.000361932
31,542.238,0.12268,0.87952,1,0.49539,0.000353387,0.000353387,0.000353387
32,558.469,0.15347,0.87149,1,0.50299,0.000344703,0.000344703,0.000344703
33,574.966,0.23893,0.8755,1,0.44348,0.000335892,0.000335892,0.000335892
34,591.449,0.09254,0.88755,1,0.42981,0.000326967,0.000326967,0.000326967
35,607.762,0.0884,0.89558,1,0.57275,0.000317943,0.000317943,0.000317943
36,623.783,0.11686,0.86747,1,0.43542,0.000308834,0.000308834,0.000308834
37,639.971,0.07483,0.88755,1,0.38135,0.000299653,0.000299653,0.000299653
38,656.323,0.14866,0.8755,1,0.41052,0.000290415,0.000290415,0.000290415
39,672.917,0.19953,0.86345,1,0.41083,0.000281134,0.000281134,0.000281134
40,688.987,0.062,0.87149,1,0.44571,0.000271824,0.000271824,0.000271824
41,705.304,0.08249,0.89558,1,0.43103,0.0002625,0.0002625,0.0002625
